id;nome;latitude;longitude;logradouro;numero;complemento;bairro;cidade;cep;uf;contato;email;telefone
25;CELSÃO AUTOPEÇAS;-23.1278309;-46.4689299;AVENIDA SANTOS DUMONT;425;;JARDIM SANTOS DUMONT;BOM JESUS DOS PERDÕES;12955000;SP;CELSO;celsoautopecas@uol.com.br;1140127282
26;MEGA AUTOPEÇAS;-23.5248636;-46.8034929;AVENIDA DOS AUTONOMISTAS;5889;;QUITAÚNA;OSASCO;6194050;SP;RAFAEL;rafamega.pecas@hotmail.com;1136958500
27;CICLO SHOP MULTIMARCAS;-22.4747058;-48.9904101;RUA SETE DE SETEMBRO;890;;CENTRO;AGUDOS;17120011;SP;VINICIUS;cicloshop.agudos@outlook.com;1432617132
28;EDINHO AUTOPEÇAS;-20.0418330;-47.7547402;AVENIDA DOUTOR WANDERLEY RIBEIRO;347;;CENTRO;IGARAPAVA;15540000;SP;EDSON;edinhoautopecas@yahoo.com;1631725009
29;MANIACAR;-22.8236851;-42.9690211;RUA LUIZ PEREIRA DOS SANTOS;96;;BOAVISTA;SÃO GONÇALO;24465740;RJ;ANA;maniacar@globo.com;2137069053
30;J.R. PEÇAS;-15.8764620;-50.8671899;RUA BEBEDOURO;156;;PLANALTO;JUSSARA;76270000;GO;JOSE RUBENS;jr.rubens_@hotmail.com;6233731288
31;AUTOPEÇAS GRANDE CIRCULAR;-3.0931466;-59.9517955;AVENIDA AUTAZ MIRIM;7216;;TANCREDO NEVES;MANAUS;69087215;AM;ANTONIO;somaza_grandecircular@hotmail.com;9230163575
32;MUNDIAL AUTOPEÇAS;-22.3114010;-49.0629129;AVENIDA DOUTOR NUNO DE ASSIS;1662;;JARDIM SANTANA;BAURU;17020310;SP;GILMAR;mundialbauru.vendas@gmail.com;1431043030
33;SCALA AUTOPEÇAS;-21.6788129;-51.0682795;AVENIDA CASTELO BRANCO;410;;VILA JAMIL DE LIMA;ADAMANTINA;17800000;SP;ANDRÉ;scalaadamantina@hotmail.com;1835211707
34;RAPOSO AUTOPEÇAS;-23.5995124;-46.8892663;ALAMEDA TUCA;510;;PARQUE RINCÃO;COTIA;6716190;SP;SERGIO;sergio@raposoautopecas.com;1146147769
35;JOSECAR AUTOPEÇAS;-23.5796340;-46.7098761;PRAÇA PAULA MOREIRA;106;;JARDIM GUEDALA;SÃO PAULO;5514010;SP;SERGIO;gerentebutanta@josecar.com.br;1138112299
36;COLORADO AUTOPEÇAS;-11.7328052;-49.0722981;AVENIDA GOIÁS;2619;;CENTRO;GURUPI;77410010;TO;PAULO;paulopinto.gpi@gmail.com;6333123060
37;SEBBÁ AUTOPEÇAS;-23.9448502;-46.3238516;RUA JÚLIO DE MESQUITA;57;;VILA MATHIAS;SANTOS;11075220;SP;LUCIANO;sebba@terra.com.br;1332221597
38;CHUMBINHO AUTOPEÇAS;-22.2902095;-51.9057643;AVENIDA ZILBRASIL;801;B;CENTRO;MIRANTE DO PARANAPANEMA;19260000;SP;PAULO;chumbinhoautopecas@hotmail.com;1839911572
39;JATAÍ AUTOPEÇAS;-17.8863809;-51.7175996;RUA BENJAMIM CONSTANT;1163;;CENTRO;JATAÍ;75800000;GO;JOSÉ LUIZ;jat_cotação@hotmail.com;6435053000
40;JATAÍ AUTOPEÇAS;-17.9020607;-51.7261828;AVENIDA SAID ABDALIA;244;;JARDIM RIO CLARO;JATAÍ;75802019;GO;JOSÉ LUIZ;jat_cotação@hotmail.com;6435053000
41;AUTOPEÇAS DO MAURO;-7.8898991;-35.4618564;AVENIDA JERÔNIMO HERÁCLIO DO REGO;1524;;JOÃO ERNESTO;LIMOEIRO;55700000;PE;LÊILA;grimaurogcoutinho@bol.com.br;8136280845
42;IBAD AUTOPEÇAS;-22.7825146;-43.3050096;AVENIDA DUQUE DE CAXIAS;751;;PAULICÉIA;DUQUE DE CAXIAS;25070070;RJ;ORNI;orniibad@gmail.com;2136728250
43;PIUMHI PEÇAS;-18.9043781;-48.2897516;AVENIDA PAULO ROBERTO CUNHA SANTOS;1525;;ROOSEVELT;UBERLÂNDIA;38402266;MG;MARCIA;piumhi@netsite.com.br;3432342400
44;TEDA AUTOPEÇAS;-20.2720277;-50.2392287;AVENIDA LITÉRIO GRECCO;2601;;SÃO FERNANDO;FERNANDÓPOLIS;15600000;SP;LEONARDO;tedacompras@gmail.com;1734655777
45;AUTOPEÇAS UNIVERSO;-14.1038363;-50.3400367;AVENIDA TANCREDO NEVES;S/N;QUADRA27LOTE4;SETOR ESTÁDIO;NOVA CRIXÁS;76520000;GO;WAGNER;apuniverso@hotmail.com;6233853277
46;PARDAHL AUTOPEÇAS;-23.4493771;-49.4066976;RUA FERNANDO GOBBO;640;;VILA DOS MARTINS;TAGUAÍ;18890000;SP;PARDAHL;pardahl.gobbo@hotmail.com;1433861333
47;AUTOPEÇAS MANOA;-3.0396068;-60.0053125;AVENIDA MAXTEIXEIRA;2350;;CIDADE NOVA;MANAUS;69090001;AM;NIVALDO;manoapecas1@uol.com.br;9235812781
48;AUTOPEÇAS NELSON;-17.8201302;-50.5977854;RUA GERALDO MARTINS ROSA;900;;BLANDINA;SANTA HELENA;75920000;GO;NEILSON;oficinanelson@gmail.com;6436411267
49;AUTOPEÇAS MAYSA;-16.6455209;-49.3916356;AVENIDA ELIZABETH MARQUES;20;;MAYSA;TRINDADE;75380000;GO;MARCOS;autopecasmaysa@hotmail.com;6235774695
50;UNIPEÇAS AUTOPEÇAS;-17.8119325;-50.6001774;RUA DUPLANIL FARIA DE SOUZA;600;;CENTRO;SANTA HELENA;75920000;GO;KELLER;unipecas.automotivo@globo.com;6436413636
51;PARENTE AUTOPEÇAS;-10.7128037;-48.4130076;AVENIDA ANISIO ALVES COSTA;1341;;JARDIM BRASILIA;PORTO NACIONAL;77500000;TO;EMERSON;parenteautopecas@terra.com.br;6333631573
52;MS AUTOMOTIVA;-10.7106080;-48.4129700;AVENIDA ANISIO ALVES COSTA;1500;;CENTRO;PORTO NACIONAL;75500000;TO;RAILSON;pecasmercosul@yahoo.com.br;6333632828
53;AUTOPEÇAS TAVARES;-21.1404333;-48.9741729;RUA BRASIL;1911;;JARDIM BRASIL;CATANDUVA;15800030;SP;EVERTON;autopecastavares2008@hotmail.com;1735225430
54;WR AUTOPEÇAS;-22.8202414;-45.1974863;RUA VISCONDE DE GUARATINGUETÁ;539;;CENTRO;GUARATINGUETÁ;12501290;SP;FABIANO;wrdasilvawr@hotmail.com;1231286700
55;ARAXA AUTO CENTER;-18.9389199;-48.3086722;RUA DO CARPINTEIRO;172;;PLANALTO;UBERLÂNDIA;38413177;MG;NECIARAUJO;autocenteraraxa@yahoo.com.br;3432575025
56;ALADIM AUTOPEÇAS;-18.9383041;-48.2993479;PRAÇA SÃO FRANCISCO DE PAULA;436;;TUBALINA;UBERLÂNDIA;38412048;MG;DOLVIRA;aladim_autopecas@hotmail.com;3432384292
57;SCALA AUTOPEÇAS;-20.8981912;-51.3777796;AVENIDA GUANABARA;1211;;CENTRO;ANDRADINA;16901000;SP;FRANCISCO;scalaandradina@hotmail.com;1837229898
58;FTT OF FSHORE;-22.8978347;-43.2170496;RUA ESCOBAR;66;;SÃO CRISTOVÃO;RIO DE JANEIRO;20941001;RJ;ANDRÉ;andre@fftautoparts.com.br;2138603858
59;AUTOPEÇAS CANDIESEL;-22.7501450;-50.3929962;RUA FRANCISCO JOSÉ DE TOLEDO;315;;CENTRO;CÂNDIDO MOTA;19880000;SP;JOSÉ ROBERTO;compras@candiesel.com.br;1833415959
60;ACELKAR;-3.7393647;-38.5920266;AVENIDA MISTERHULL;5322;;ANTÔNIO BEZERRA;FORTALEZA;60356682;CE;MAURICIO;acelkar@hotmail.com;8532350710
61;POLACO AUTOPEÇAS;-23.2274866;-45.8903379;AVENIDA PERSEU;637;;JARDIM SATÉLITE;SÃO JOSÉ DOS CAMPOS;12230470;SP;POLACO;financeiro@polacoautopecas.com;1239311699
62;MOTOPEÇAS AUVANIL;-23.1703467;-47.7568293;AVENIDA ÂNGELO MODOLO;938;;RESIDENCIAL DINAPOLI;CERQUILHO;18520000;SP;JORGE;furacaomoto@gmail.com;1532844282
63;PEÇAS GUIMARAES;-18.8769008;-48.2649193;AVENIDA COMENDADOR ALEXANDRINO GARCIA;1913;;MARTA HELENA;UBERLÂNDIA;38402288;MG;JOSÉ;admpecasguimaraes@gmail.com;3432118880
64;IRUPI AUTOPEÇAS;-20.3472693;-41.6384031;RUA JOÃO COSTA;456;;JOATOMAS;IRUPI;29398000;ES;MAGNO;eap.fabiano@hotmail.com;2835481244
65;LUAINE AUTOPEÇAS;-18.9036003;-48.2489342;AVENIDA BENJAMIN MAGALHÃES;731;;TIBERY;UBERLÂNDIA;38405040;MG;ELAINE/LUCIANO;elaine@luaineap.com.br;3432131875
66;OUROPEÇAS;-9.3846835;-40.5194444;AVENIDA SETE DE SETEMBRO;209;;OURO PRETO;PETROLINA;56318000;PE;NEGUINHO;ouro-pecas@hotmail.com;8738635711
67;PONTO AUTOPEÇAS;-7.8918011;-35.4569661;AVENIDA JERÔNIMO HERÁCLIO DO RÊGO;632;;PONTO CERTO;LIMOEIRO;55770000;PE;ROBERTO;pontoautopecas@bol.com.br;8136280118
68;AUTOPEÇAS VILA NORI;-25.3900810;-49.2974131;RUA RAPOSO TAVARES;1452;;PILARZINHO;CURITIBA;82100452;PR;VALMIR;vilanori@vilanori.com.br;4132352069
69;UNIDOS IMPORTADOS;-12.2453875;-38.9639928;AVENIDA VISCONDE DO RIO BRANCO;1103;;BARAÚNA;FEIRA DE SANTANA;44020012;BA;CHARLITON;compras@unidosimportados.com.br;7536036400
70;UNIDOS IMPORTADOS;-12.9689595;-39.2734525;RUA B;101;SALA 101;CENTRO;SANTO ANTÔNIO DE JESUS;44572130;BA;MILLENA;admsaj@unidosimportados.com.br;7536319010
71;UNIDOS IMPORTADOS;-12.1512357;-38.4213197;AVENIDA JURACI MAGALHÃES;1182;;CENTRO;ALAGOINHAS;48040210;BA;GLEIDINALDO;adm.ala@unidosimportados.com.br;7534233705
72;UNIDOS IMPORTADOS;-12.6961259;-38.3361702;AVENIDA VINTE E OITO DE SETEMBRO;1092;;GLEBA A;CAMAÇARI;42800001;BA;YANE;adm.com@unidosimportados.com.br;7521417405
73;UNIDOS IMPORTADOS;-12.2601350;-38.9547755;AVENIDA PRESIDENTE DUTRA;1105;;CENTRO;FEIRA DE SANTANA;44001432;BA;ANA CAROLINA;financeiro@unidospneus.com.br;7530248080
74;FRANPEÇAS AUTOPEÇAS;-23.4752246;-47.4718896;RUA ATANAZIO SOARES;1172;;VILA SONIA;SOROCABA;18075000;SP;FRANCISCO;franpecasasdm@hotmail.com;1532330843
75;DISPEÇAL AUTOPEÇAS;-26.0758811;-53.0554831;RUA ANTONINA;230;;CENTRO;FRANCISCO BELTRÃO;85601580;PR;ALEXANDRA;lispecal@dispecal.com.br;4635241044
76;EDGAR AUTOPEÇAS;-20.8035666;-41.7259127;RODOVIA BR 482;S/N;KM 93,5;CENTRO;GUAÇUÍ;29560000;ES;ACACIO;eap.acassio@gmail.com;2835451717
77;EDGAR AUTOPEÇAS;-20.3420895;-41.5395820;AVENIDA PRESIDENTE TANCREDO NEVES;S/N;;NITEROI;IÚNA;29390000;ES;PAULO;eap.fabiano@hotmail.com;2835531757
78;BARÃO DIESEL;-22.4787324;-43.1728062;AVENIDA BARAO DO RIO BRANCO;3120;;CENTRO;PETRÓPOLIS;25680276;RJ;RENA;vendas@baraodiesel.com;2422461926
79;MZ PNEUS;-24.4932572;-47.8383695;AVENIDA PRESIDENTE CASTELO BRANCO;140;;CENTRO;REGISTRO;11900000;SP;IAGO;mzpneusmichelin@gmail.com;1338222996
80;MZ PNEUS;-24.6943219;-48.0019229;RUA ELIAS FELISBINO;15;;CENTRO;JACUPIRANGA;11940000;SP;IAGO;mzpneusmichelin@gmail.com;1338222996
81;COBRA MOTO PEÇAS;-23.5534731;-46.8353689;AVENIDA INOCÊNCIO SERÁFICO;3571;;VILA SILVA RIBEIRO;CARAPICUÍBA;6380021;SP;MAISA;xuxacobramotos101@gmail.com;1141670772
82;CASTRILLON AUTOPEÇAS;-10.8862417;-61.9336534;AVENIDA TRANCONTINENTAL;1383;;RIACHUELO;JI-PARANÁ;76913785;RO;OSMAR;gerencia.jip@castrillon.com.br;6934113100
83;CASTRILLON AUTOPEÇAS;-9.9129180;-63.0552850;RODOVIA BR 364;2110;;SETOR APÔIO;ARIQUEMES;76890000;RO;SAMUEL;gerencia.ari@castrillon.com.br;6935162350
84;CASTRILLON AUTOPEÇAS;-12.7379827;-60.1405212;AVENIDA CELSO MAZUTTI;3663;;JARDIM AMÉRICA;VILHENA;76980807;RO;MARCELO;gerencia.vil@castrillon.com.br;6933161250
85;CASTRILLON AUTOPEÇAS;-8.7781183;-63.8726848;RUA DA BEIRA;6380;;JARDIM ELDORADO;PORTO VELHO;76806130;RO;ROBERTO;gerencia.pvh@castrillon.com.br;6932189300
86;CASTRILLON AUTOPEÇAS;-11.4388159;-61.4558598;AVENIDA CASTELO BRANCO;20051;;INDUSTRIAL;CACOAL;76967621;RO;EMERSON;gerencia.ccl@castrillon.com.br;6934162750
87;CASTRILLON AUTOPEÇAS;-8.7681291;-63.8888430;AVENIDA NAÇÕES UNIDAS;1060;;MATO GROSSO;PORTO VELHO;76804420;RO;CÉLIO;gerencia.pv2@castrillon.com.br;6932112900
88;CASTRILLON AUTOPEÇAS;-11.7253064;-61.7649796;AVENIDA VINTE E CINCO DE AGOSTO;4593;;CENTRO;ROLIM DE MOURA;76940000;RO;RAFAEL;gerencia.rol@castrillon.com.br;6934490600
89;CASTRILLON AUTOPEÇAS;-10.4353126;-62.4757166;AVENIDA JK;2275;;JARDIM NOVO HORIZONTE;JARU;76890000;RO;CLAUDINEI;gerencia.jar@castrillon.com.br;6935218600
90;MASTER AUTOPEÇAS;-22.1353146;-51.3893835;AVENIDA BRASIL;2088;;JARDIM BELA DARIA;PRESIDENTE PRUDENTE;19013001;SP;ANA PAULA;masterautopecas@uol.com.br;1821017800
91;AUTOPEÇAS JOIA DO PONTAL;-22.5295379;-52.1680000;AVENIDA CUIBÁ;995;;CENTRO;TEODORO SAMPAIO;19280000;SP;CLAUDAIR;autopecasjoiadopontal@hotmail.com;1832821323
92;AUTOPEÇAS B B;-3.1153222;-60.0317150;AVENIDA ÀLVARO BOTELHO MAIA;79;;SÃO GERALDO;MANAUS;69053350;AM;FRANCISCO;gerenciabbautopecas@gmail.com;9233083711
93;PARANÁ AUTOPEÇAS;-23.6622966;-46.6627331;AVENIDA CUPECÊ;2182;;JARDIM ANCHIETA;SÃO PAULO;4366000;SP;HERBERT;parana2182@gmail.com;1155670100
94;PARANÁ AUTOPEÇAS;-23.6588102;-46.6660453;AVENIDA CUPECÊ;1665;;CIDADE ADEMAR;SÃO PAULO;4365000;SP;EDUARDO;parana2182@gmail.com;1155670101
95;VALPEMEC AUTOPEÇAS;-23.1980994;-45.8873264;RUA PARAIBUNA;678;;JARDIM SÃO DIMAS;SÃO JOSÉ DOS CAMPOS;12245021;SP;BRUNO;brunocompras@valpemec.com;1238767474
96;CAMARÃO MOTO BIKE;-1.4574143;-48.4539753;AVENIDA DOUTOR CELSO MALCHER;548;;MONTASE;BELÉM;66070790;PA;EMANOEL;emanoel.natividade@hotmail.com;9181467201
97;JOSINEI AUTOPEÇAS;-22.5479143;-42.9837751;RODOVIA RIO FRIBURGO;349;;PARADA MODELO;GUAPIMIRIM;25940050;RJ;JOSINEI;joseneiautopecas@gmail.com;2136331151
98;CRISAUTOPEÇAS;-21.4842675;-51.5287676;RUA ESPIRITO SANTO;248;;CENTRO;DRACENA;17900000;SP;VALERIA;sakatevaleria@gmail.com;1838213414
99;UDICAR AUTOPEÇAS LTDA;-18.9393663;-48.3107584;RUA DO CARPINTEIRO;362;LOJA;PLANALTO;UBERLÂNDIA;38413177;MG;NEILSON;udicarauto@bol.com.br;3432220018
100;ULTRAPEÇAS COMÉRCIO;-21.7476453;-41.3301879;AVENIDA QUINZE DE NOVEMBRO;349;;CENTRO;CAMPOS DOS GOYTACAZES;28035100;RJ;FELIPE;felipevieiracruz@hotmail.com;2221019292
101;UTILY UPS CAR;-22.1391466;-51.3913509;AVENIDA BRASIL;2562;;VILA INDUSTRIAL;PRESIDENTE PRUDENTE;19013002;SP;JOSÉ ALBERTO;utilyupscar@gmail.com;1832237462
102;AUTOCOM;-25.4014945;-52.4100144;RUA DIOGO PINTO;1195;;CENTRO;LARANJEIRAS DO SUL;85301290;PR;ROBERTO;roberto_stang@hotmail.com;4236352303
103;RIPAUTO AUTOPEÇAS;-20.2686874;-50.5490441;RUA AYRTON SENNA DA SILVA;306;;JARDIM ESTADOS UNIDOS;JALES;15700252;SP;RICARDO;ripautopecas@hotmail.com;1736212333
104;AGUDOS AUTOPEÇAS;-22.4619719;-48.9904437;RUA ARCÂNGELO NAPOLEONE;385;;VILA HONORINA;AGUDOS;17120000;SP;PAULO;agudosautopecas1@hotmail.com;1432613422
105;PRIMO AUTOPEÇAS;-20.5353108;-47.4134964;AVENIDA SANTOS DUMONT;176;;VILA SANTOS DUMONT;FRANCA;14405268;SP;GUSTAVO;compras@primoautopecas.com;1637075050
106;CÉLIO AUTOPEÇAS;-17.7896289;-50.9212537;AVENIDA PRESIDENTE VARGAS;1595;;JARDIM GOIÁS;RIO VERDE;75901040;GO;WENDEL;financeirocelioautopecas@uol.com.br;6436132500
107;MALACHIAS PEÇAS AUTOMOTIVAS;-21.8520461;-47.4762978;AVENIDA ENGENHEIRO NICOLAU DE VERGUEIRO FORJAZ;135;;CENTRO;PORTO FERREIRA;13660005;SP;LEVINO;malachias.dani.adm@gmail.com;1935894131
108;VIANNAX PEÇAS E SERVIÇOS;-22.8986936;-43.2174174;RUA ESCOBAR;73;;SÃO CRISTOVÃO;RIO DE JANEIRO;20940190;RJ;FABIANO;viannaxpecas@gmail.com;2138604959
109;LIAUTOPEÇAS;-13.2752759;-50.1682255;AVENIDA JOSÉ PEREIRA DO NASCIMENTO;899;;ALTO ALEGRE;SÃO MIGUEL DO ARAGUAIA;76590000;GO;UBIRANEY;liautopecassma@gmail.com;6233644140
110;CENTER DIESEL AUTOPEÇAS;-20.3668666;-40.4215810;RODOVIA MARIO COVAS;S/N;BR 262 KM8,5;GUARITAS;VIANA;29633654;ES;CARLOS;carlos@centerdiesel.com.br;2730416700
111;NOVA CENTER AUTOPEÇAS;-20.2152617;-40.2690452;TRAVESSA SÃO JOSE;11;;PLANALTO DE CARAPINA;SERRA;29162712;ES;CARLOS;carlos@centerdiesel.com.br;2730416721
112;CENTER DIESEL AUTOPEÇAS;-20.3165228;-40.3956021;RODOVIA GOVERNADOR MARIO COVAS;281;;NOVA VALVERDE;CARIACICA;29151815;ES;CARLOS;carlos@centerdiesel.com.br;2730900910
113;REY BRASIL AUTOPEÇAS;-23.1181654;-46.5636866;RUA DOUTOR EURICO DE SOUZA PEREIRA;308;;ALVINÓPOLIS;ATIBAIA;12942490;SP;EDSON;vendas@reybrasilautopecas.com.br;1144112289
114;SKYNA MOTOS;-23.5381542;-46.6425642;RUA GENERAL OSÓRIO;480;;SANTA EFIGÊNIA;SÃO PAULO;1213000;SP;WILSON;skynamotos@terra.com.br;1132232615
115;AUTOPEÇAS ABJ;-22.3190989;-49.0705747;RUA PRESIDENTE KENNEDY;725;;CENTRO;BAURU;17010030;SP;ADEMIR;ademir@autopecasabj.com.br;1432325252
116;BERONHA AUTOPEÇAS;-23.9883766;-48.8861628;AVENIDA HIGINO MARQUES;625;;VILA OFÉLIA;ITAPEVA;18400000;SP;REGINADO;beronhaautopecasitapeva@uol.com.br;1535241686
117;CENTER PEÇAS DIESEL;-22.1438400;-51.4001524;AVENIDA CORONEL JOSÉ SOARES MARCONDES;3990;;JARDIM  BONGIOVANI;PRESIDENTE PRUDENTE;19013050;SP;CESAR;cpdiesel@hotmail.com;1839084440
118;KARANGO AUTOPEÇAS;-3.9054130;-38.6879370;RUA CAPITÃO JEOVÁ COLARES;120;;CENTRO;MARANGUAPE;61942460;CE;HALLAN;hallanhilton@hotmail.com;8533412367
119;A POPULAR;-22.7580418;-43.4359995;RUA OSCAR SOARES;574;;CALIFÓRNIA;NOVA IGUAÇU;26220098;RJ;MARCIO;pessanha2469@gmail.com;2137738764
120;MC AUTOPEÇAS;-16.6848327;-49.3209337;AVENIDA CONSOLAÇÃO;2372;;VILA SANTA RITA;GOIÂNIA;74420230;GO;JÃO;mctoyota@terra.com.br;6235818117
121;AUTOPEÇAS BRASIL;-21.4894772;-51.5407405;RUA FIDELIS PAULINO DE ARRUDA;998;;CENTRO;DRACENA;15700000;SP;CARLOS;autopecasbrasil1236@gmail.com;1838223301
122;PLACIN AUTOPEÇAS;-23.6697056;-46.5398086;RUA TUIUTI;37;;JARDIM BELA VISTA;SANTO ANDRÉ;9041420;SP;FERNANDO;vendas@placin.com.br;1121425300
123;GOMEC AUTOPEÇAS;-23.6863926;-46.6001766;AVENIDA DONA RUYCE FERRAZ ALVIM;130;;VILA NOGUEIRA;DIADEMA;9951002;SP;RENATO;renato.mkt@gomecautopecas.com.br;1140706770
124;AUTO TUDO PRODUTOS AUTOMOTIVOS;-22.6502736;-50.4268185;AVENIDA DOM ANTONIO;945;;VILA RODRIGUES;ASSIS;19806172;SP;GERALDO;geraldo@autotudo.com.br;1833024900
125;UNIÃO AUTOPEÇAS;-20.2733353;-50.2478829;AVENIDA LUIZ BRAMBATTI;2164;;PARQUE SÃO CRISTOVÃO;FERNANDÓPOLIS;15607072;SP;ROBERTO;tedacompras@gmail.com;1734421000
126;MOTO BIKE;-1.4672629;-48.4845146;TRAVESSA APINAGÉS;588;;BATISTA CAMPOS;BELÉM;66033170;PA;DAYSE;daysenat@hotmail.com;9198146721
127;AUTOPEÇAS CHEVROPEÇAS;-22.3188334;-49.0706202;RUA ANTÔNIO ALVES;751;;CENTRO;BAURU;17010170;SP;DANIEL;daniel@chevropecasbauru.com.br;1432334777
128;ROCHA AUTOPEÇAS;-23.1803591;-46.8775251;RUA CARLOS GOMES;647;;PONTE SÃO JOÃO;JUNDIAÍ;2721200;SP;ANDRÉ;rochaloja06@rochaautopecas.com.br;1145871566
129;AUTO ROLLER;-22.8993001;-43.2178231;RUA SOUZA VALENTE;26;LOJA E;SÃO CRISTOVÃO;RIO DE JANEIRO;20940041;RJ;CLÓVIS;autoroler@hotmail.com;2138608045
